Date,Days_After_Sowing,NDVI_Interpolated,NDVI_Lower_CI,NDVI_Upper_CI,FVC_Interpolated,FVC_Lower_CI,FVC_Upper_CI,Ground_Cover_Percentage,Ground_Cover_Lower_CI,Ground_Cover_Upper_CI,Growth_Stage,Sowing_Date,Harvest_Date
2024-01-07,96,0.3255367716119984,0.21606666666666663,1.0,0.25076681658856914,0.09438095238095234,1.0,25.076681658856913,9.438095238095235,100.0,Tillering,2023-10-03,2024-07-30
2024-01-08,97,0.32844843746411545,0.2211333333333333,1.0,0.2549263392344507,0.10161904761904758,1.0,25.49263392344507,10.161904761904758,100.0,Tillering,2023-10-03,2024-07-30
2024-01-09,98,0.3313696140070348,0.22619999999999996,1.0,0.2590994485814783,0.1088571428571428,1.0,25.90994485814783,10.88571428571428,100.0,Tillering,2023-10-03,2024-07-30
2024-01-10,99,0.3343004173116389,0.23126666666666662,1.0,0.26328631044519846,0.11609523809523804,1.0,26.328631044519845,11.609523809523804,100.0,Tillering,2023-10-03,2024-07-30
2024-01-11,100,0.33724123541018275,0.23633333333333334,1.0,0.26748747915740395,0.12333333333333336,1.0,26.748747915740395,12.333333333333336,100.0,Tillering,2023-10-03,2024-07-30
2024-01-12,101,0.3401947883895121,0.2414,1.0,0.2717068405564459,0.1305714285714286,1.0,27.17068405564459,13.057142857142859,100.0,Tillering,2023-10-03,2024-07-30
2024-01-13,102,0.343178499125361,0.24646666666666667,1.0,0.2759692844648015,0.13780952380952383,1.0,27.596928446480153,13.780952380952382,100.0,Tillering,2023-10-03,2024-07-30
2024-01-14,103,0.3462600209490944,0.25153333333333333,1.0,0.2803714584987063,0.14504761904761906,1.0,28.037145849870633,14.504761904761907,100.0,Tillering,2023-10-03,2024-07-30
2024-01-15,104,0.34958079443426254,0.2566,1.0,0.2851154206203751,0.1522857142857143,1.0,28.51154206203751,15.22857142857143,100.0,Tillering,2023-10-03,2024-07-30
2024-01-16,105,0.3532443830600015,0.26166666666666666,1.0,0.290349118657145,0.15952380952380954,1.0,29.034911865714502,15.952380952380954,100.0,Tillering,2023-10-03,2024-07-30
2024-01-17,106,0.35711258530440165,0.2667333333333333,1.0,0.29587512186343096,0.16676190476190478,1.0,29.587512186343094,16.676190476190477,100.0,Tillering,2023-10-03,2024-07-30
2024-01-18,107,0.3608714637359444,0.2718,1.0,0.30124494819420633,0.174,1.0,30.124494819420633,17.4,100.0,Tillering,2023-10-03,2024-07-30
2024-01-19,108,0.36436043485344244,0.27686666666666665,1.0,0.30622919264777493,0.18123809523809523,1.0,30.622919264777494,18.123809523809523,100.0,Tillering,2023-10-03,2024-07-30
2024-01-20,109,0.3676577827227702,0.2819333333333333,1.0,0.31093968960395746,0.18847619047619046,1.0,31.093968960395745,18.847619047619048,100.0,Tillering,2023-10-03,2024-07-30
2024-01-21,110,0.37089042887147766,0.287,1.0,0.3155577555306824,0.1957142857142857,1.0,31.555775553068237,19.57142857142857,100.0,Tillering,2023-10-03,2024-07-30
2024-01-22,111,0.37412104495080706,0.29206666666666664,1.0,0.32017292135829584,0.20295238095238094,1.0,32.017292135829585,20.295238095238094,100.0,Tillering,2023-10-03,2024-07-30
2024-01-23,112,0.3773659754558663,0.29713333333333336,1.0,0.3248085363655233,0.21019047619047626,1.0,32.48085363655233,21.019047619047626,100.0,Tillering,2023-10-03,2024-07-30
2024-01-24,113,0.38062775862824627,0.3022,1.0,0.32946822661178043,0.21742857142857147,1.0,32.94682266117805,21.742857142857147,100.0,Tillering,2023-10-03,2024-07-30
2024-01-25,114,0.3839109741724533,0.3072666666666667,1.0,0.33415853453207617,0.2246666666666667,1.0,33.41585345320762,22.466666666666672,100.0,Tillering,2023-10-03,2024-07-30
2024-01-26,115,0.3872562378948784,0.31233333333333335,1.0,0.33893748270696916,0.23190476190476195,1.0,33.89374827069692,23.190476190476193,100.0,Tillering,2023-10-03,2024-07-30
2024-01-27,116,0.3909321887380301,0.3174,1.0,0.34418884105432873,0.23914285714285718,1.0,34.41888410543287,23.914285714285718,100.0,Tillering,2023-10-03,2024-07-30
2024-01-28,117,0.3959770919738807,0.3224666666666667,1.0,0.35139584567697246,0.24638095238095242,1.0,35.13958456769725,24.638095238095243,100.0,Tillering,2023-10-03,2024-07-30
2024-01-29,118,0.40451243613439375,0.32753333333333334,1.0,0.36358919447770544,0.25361904761904763,1.0,36.358919447770546,25.361904761904764,100.0,Tillering,2023-10-03,2024-07-30
2024-01-30,119,0.41790642019889135,0.3326,1.0,0.38272345742698766,0.2608571428571429,1.0,38.27234574269877,26.08571428571429,100.0,Tillering,2023-10-03,2024-07-30
2024-01-31,120,0.4336167307004443,0.33766666666666667,1.0,0.40516675814349196,0.2680952380952381,1.0,40.5166758143492,26.80952380952381,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-01,121,0.4465045225441397,0.34273333333333333,1.0,0.42357788934877105,0.2753333333333334,1.0,42.35778893487711,27.53333333333334,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-02,122,0.4542012332428327,0.3478,1.0,0.43457319034690384,0.2825714285714286,1.0,43.457319034690386,28.25714285714286,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-03,123,0.4582712318068444,0.35286666666666666,1.0,0.44038747400977785,0.28980952380952385,1.0,44.03874740097778,28.980952380952385,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-04,124,0.4609484583583417,0.3579333333333333,1.0,0.44421208336905965,0.29704761904761906,1.0,44.42120833690596,29.704761904761906,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-05,125,0.46330930286272326,0.363,1.0,0.44758471837531905,0.30428571428571427,1.0,44.75847183753191,30.428571428571427,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-06,126,0.4656298684884742,0.36806666666666665,1.0,0.45089981212639174,0.31152380952380954,1.0,45.089981212639174,31.152380952380952,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-07,127,0.46795086744923403,0.3731333333333333,1.0,0.45421552492747724,0.31876190476190475,1.0,45.42155249274772,31.876190476190473,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-08,128,0.47027549513205574,0.3782,1.0,0.4575364216172226,0.326,1.0,45.753642161722254,32.6,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-09,129,0.4726024207576401,0.38326666666666664,1.0,0.46086060108234306,0.3332380952380952,1.0,46.08606010823431,33.32380952380952,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-10,130,0.4749304486676632,0.3883333333333333,1.0,0.46418635523951884,0.3404761904761905,1.0,46.418635523951885,34.04761904761905,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-11,131,0.4772607991012238,0.39339999999999997,1.0,0.4675154272874627,0.3477142857142857,1.0,46.75154272874627,34.77142857142857,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-12,132,0.4796108906423508,0.39846666666666664,1.0,0.47087270091764405,0.35495238095238096,1.0,47.0872700917644,35.49523809523809,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-13,133,0.482054013651264,0.4035333333333333,1.0,0.47436287664466287,0.3621904761904761,1.0,47.436287664466285,36.219047619047615,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-14,134,0.48474593313450937,0.4086,1.0,0.47820847590644205,0.36942857142857155,1.0,47.820847590644206,36.94285714285716,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-15,135,0.4878010420794845,0.4136666666666667,1.0,0.48257291725640644,0.37666666666666676,1.0,48.25729172564064,37.66666666666668,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-16,136,0.4910650250037637,0.41873333333333335,1.0,0.4872357500053767,0.38390476190476197,1.0,48.72357500053767,38.3904761904762,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-17,137,0.4941867768668476,0.4238,1.0,0.49169539552406805,0.39114285714285724,1.0,49.1695395524068,39.11428571428572,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-18,138,0.4969837059771945,0.4288666666666667,1.0,0.49569100853884934,0.39838095238095245,1.0,49.56910085388493,39.83809523809524,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-19,139,0.49953785347046264,0.43393333333333334,1.0,0.4993397906720895,0.4056190476190477,1.0,49.93397906720895,40.56190476190477,100.0,Stem Elongation,2023-10-03,2024-07-30
2024-02-20,140,0.501985493390609,0.439,1.0,0.5028364191294415,0.4128571428571429,1.0,50.283641912944155,41.28571428571429,100.0,Stem Elongation,2023-10-03,2024-07-30
